average_uptime,average_downtime,machine,e,ct,product
0 days 01:15:57.909090909,0 days 00:00:00.000000000,#130,1,0 days 00:00:16.000000000,2015
0 days 01:22:51.200000000,0 days 00:00:00.000000000,#110,1,0 days 00:00:15.000000000,2003
0 days 01:16:37.090909090,0 days 00:00:00.000000000,#150,1,0 days 00:00:30.000000000,2021
0 days 03:44:22.600000000,0 days 00:00:10.500000000,#170,0.999220669,0 days 00:00:10.000000000,1580
0 days 01:22:08.400000000,0 days 00:00:00.000000000,#100,1,0 days 00:00:17.000000000,1995
0 days 01:13:52.090909090,0 days 00:00:00.000000000,#80,1,0 days 00:00:10.000000000,1992
0 days 01:48:15.800000000,0 days 00:00:00.000000000,#120,1,0 days 00:00:19.000000000,1010
0 days 01:13:37.272727272,0 days 00:00:00.000000000,#90,1,0 days 00:00:16.000000000,1992
0 days 01:46:03.200000000,0 days 00:00:00.000000000,#140,1,0 days 00:00:29.000000000,1016
0 days 01:09:24.583333333,0 days 00:00:00.000000000,#160,1,0 days 00:00:16.000000000,2022
