average_uptime,average_downtime,machine,e,ct,product
0 days 00:17:42.500000000,0 days 00:00:00.000000000,#130,1,0 days 00:00:18.000000000,576
0 days 00:16:58.142857142,0 days 00:00:00.000000000,#110,1,0 days 00:00:15.000000000,552
0 days 00:18:02.071428571,0 days 00:00:00.000000000,#150,1,0 days 00:00:30.000000000,594
0 days 01:08:07.000000000,0 days 00:00:06.000000000,#170,0.998534083,0 days 00:00:09.000000000,458
0 days 00:17:04.285714285,0 days 00:00:00.000000000,#100,1,0 days 00:00:14.000000000,544
0 days 00:16:41.071428571,0 days 00:00:00.000000000,#80,1,0 days 00:00:07.000000000,530
0 days 00:17:10.142857142,0 days 00:00:00.000000000,#120,1,0 days 00:00:33.000000000,290
0 days 00:16:38.357142857,0 days 00:00:00.000000000,#90,1,0 days 00:00:16.000000000,536
0 days 00:17:52.000000000,0 days 00:00:00.000000000,#140,1,0 days 00:00:36.000000000,299
0 days 00:18:02.714285714,0 days 00:00:00.000000000,#160,1,0 days 00:00:12.000000000,597
