average_uptime,average_downtime,machine,e,ct,product
0 days 01:47:50.000000000,0 days 00:00:00.000000000,#130,1,0 days 00:00:17.000000000,1093
0 days 03:35:10.666666666,0 days 00:00:01.000000000,#110,0.999922551,0 days 00:00:16.000000000,1090
0 days 01:47:45.166666666,0 days 00:00:00.000000000,#150,1,0 days 00:00:30.000000000,1092
0 days 03:39:17.333333333,0 days 00:00:26.000000000,#170,0.998027813,0 days 00:00:13.000000000,877
0 days 01:47:49.333333333,0 days 00:00:00.000000000,#100,1,0 days 00:00:17.000000000,1090
0 days 01:07:03.500000000,0 days 00:00:00.000000000,#80,1,0 days 00:00:13.000000000,1093
0 days 01:47:46.333333333,0 days 00:00:00.000000000,#120,1,0 days 00:00:29.000000000,549
0 days 01:42:21.500000000,0 days 00:00:00.000000000,#90,1,0 days 00:00:16.000000000,1092
0 days 01:47:32.000000000,0 days 00:00:00.000000000,#140,1,0 days 00:00:34.000000000,547
0 days 01:42:47.666666666,0 days 00:00:00.000000000,#160,1,0 days 00:12:00.000000000,1091
