average_uptime,average_downtime,machine,e,ct,product
0 days 03:36:07.333333333,0 days 00:00:00.000000000,#130,1,0 days 00:00:10.000000000,1568
0 days 03:35:23.000000000,0 days 00:00:52.000000000,#110,0.995992293,0 days 00:00:15.000000000,1570
0 days 03:36:10.666666666,0 days 00:00:00.000000000,#150,1,0 days 00:00:30.000000000,1565
0 days 05:26:45.000000000,0 days 00:00:50.000000000,#170,0.997456118,0 days 00:00:10.000000000,1269
0 days 02:41:46.750000000,0 days 00:00:15.666666666,#100,0.998388604,0 days 00:00:14.000000000,1571
0 days 03:25:11.333333333,0 days 00:00:00.000000000,#80,1,0 days 00:00:10.000000000,1569
0 days 03:26:08.333333333,0 days 00:00:00.000000000,#120,1,0 days 00:00:26.000000000,787
0 days 05:07:51.500000000,0 days 00:00:54.000000000,#90,0.997085099,0 days 00:00:16.000000000,1570
0 days 03:26:01.666666666,0 days 00:00:00.000000000,#140,1,0 days 00:00:33.000000000,784
0 days 03:36:20.333333333,0 days 00:00:00.000000000,#160,1,0 days 00:00:15.000000000,1565
