average_uptime,average_downtime,machine,e,ct,product
0 days 01:37:53.214285714,0 days 00:00:00.000000000,#130,1,0 days 00:00:16.000000000,6308
0 days 05:41:34.000000000,0 days 00:00:21.000000000,#110,0.998976359,0 days 00:00:15.000000000,6303
0 days 23:10:42.000000000,0 days 00:00:29.000000000,#150,0.999652574,0 days 00:00:30.000000000,6292
0 days 05:07:25.600000000,0 days 00:00:18.444444444,#170,0.999001062,0 days 00:00:09.000000000,5088
0 days 04:07:03.727272727,0 days 00:00:27.500000000,#100,0.998148301,0 days 00:00:15.000000000,6312
0 days 01:29:30.733333333,0 days 00:00:00.000000000,#80,1,0 days 00:00:10.000000000,6309
0 days 01:36:46.821428571,0 days 00:00:00.000000000,#120,1,0 days 00:00:25.000000000,3164
0 days 22:23:46.500000000,0 days 00:00:15.000000000,#90,0.999813992,0 days 00:00:16.000000000,6314
0 days 22:56:04.000000000,0 days 00:00:04.000000000,#140,0.999951555,0 days 00:00:34.000000000,3160
0 days 01:22:50.806451612,0 days 00:00:00.000000000,#160,1,0 days 00:00:11.000000000,6288
