average_uptime,average_downtime,machine,e,ct,product
0 days 00:39:56.500000000,0 days 00:00:00.000000000,#130,1,0 days 00:00:18.000000000,220
0 days 00:39:56.500000000,0 days 00:00:00.000000000,#110,1,0 days 00:00:15.000000000,219
0 days 00:39:56.500000000,0 days 00:00:00.000000000,#150,1,0 days 00:00:30.000000000,220
0 days 00:26:37.666666666,0 days 00:00:00.000000000,#170,1,0 days 00:00:10.000000000,178
0 days 00:39:56.500000000,0 days 00:00:00.000000000,#100,1,0 days 00:00:17.000000000,219
0 days 00:39:56.500000000,0 days 00:00:00.000000000,#80,1,0 days 00:00:11.000000000,224
0 days 00:39:56.500000000,0 days 00:00:00.000000000,#120,1,0 days 00:00:20.000000000,111
0 days 00:39:56.500000000,0 days 00:00:00.000000000,#90,1,0 days 00:00:16.000000000,222
0 days 00:39:56.500000000,0 days 00:00:00.000000000,#140,1,0 days 00:00:38.000000000,111
0 days 00:39:56.500000000,0 days 00:00:00.000000000,#160,1,0 days 00:00:15.000000000,219
