average_uptime,average_downtime,machine,e,ct,product
0 days 00:18:02.666666666,0 days 00:00:00.000000000,#130,1,0 days 00:00:36.000000000,122
0 days 00:17:56.000000000,0 days 00:00:00.000000000,#110,1,0 days 00:00:15.000000000,123
0 days 00:18:02.666666666,0 days 00:00:00.000000000,#150,1,0 days 00:00:34.000000000,123
0 days 00:32:06.500000000,0 days 00:00:01.000000000,#170,0.999481193,0 days 00:00:10.000000000,105
0 days 00:26:45.500000000,0 days 00:00:00.000000000,#100,1,0 days 00:00:17.000000000,123
0 days 00:26:50.000000000,0 days 00:00:00.000000000,#80,1,0 days 00:00:09.000000000,130
0 days 00:18:00.000000000,0 days 00:00:00.000000000,#120,1,0 days 00:00:44.000000000,62
0 days 00:26:45.500000000,0 days 00:00:00.000000000,#90,1,0 days 00:00:16.000000000,126
0 days 00:18:02.333333333,0 days 00:00:00.000000000,#140,1,0 days 00:00:37.000000000,63
0 days 00:17:58.666666666,0 days 00:00:00.000000000,#160,1,0 days 00:00:10.000000000,123
