average_uptime,average_downtime,machine,e,ct,product
0 days 00:22:30.555555555,0 days 00:00:00.000000000,#130,1,0 days 00:00:17.000000000,468
0 days 00:22:14.000000000,0 days 00:00:00.000000000,#110,1,0 days 00:00:15.000000000,457
0 days 00:22:50.888888888,0 days 00:00:00.000000000,#150,1,0 days 00:00:30.000000000,471
0 days 01:45:43.000000000,0 days 00:00:00.000000000,#170,1,0 days 00:00:10.000000000,379
0 days 00:49:11.000000000,0 days 00:00:27.666666666,#100,0.990711728,0 days 00:00:17.000000000,454
0 days 00:22:35.444444444,0 days 00:00:00.000000000,#80,1,0 days 00:00:07.000000000,442
0 days 00:22:22.888888888,0 days 00:00:00.000000000,#120,1,0 days 00:00:25.000000000,236
0 days 00:21:51.333333333,0 days 00:00:00.000000000,#90,1,0 days 00:00:16.000000000,446
0 days 00:22:39.000000000,0 days 00:00:00.000000000,#140,1,0 days 00:00:32.000000000,238
0 days 00:19:51.555555555,0 days 00:00:00.000000000,#160,1,0 days 00:00:16.000000000,472
