average_uptime,average_downtime,machine,e,ct,product
0 days 00:37:44.800000000,0 days 00:00:00.000000000,#130,1,0 days 00:00:16.000000000,523
0 days 01:33:28.500000000,0 days 00:01:14.000000000,#110,0.986977563,0 days 00:00:13.000000000,526
0 days 00:37:57.400000000,0 days 00:00:00.000000000,#150,1,0 days 00:00:29.000000000,525
0 days 00:40:13.400000000,0 days 00:01:31.500000000,#170,0.963471596,0 days 00:00:10.000000000,433
0 days 00:37:39.600000000,0 days 00:00:00.000000000,#100,1,0 days 00:00:16.000000000,529
0 days 00:38:01.400000000,0 days 00:00:00.000000000,#80,1,0 days 00:00:07.000000000,532
0 days 00:37:40.400000000,0 days 00:00:00.000000000,#120,1,0 days 00:00:17.000000000,264
0 days 01:33:34.500000000,0 days 00:00:11.000000000,#90,0.998044618,0 days 00:00:16.000000000,530
0 days 00:37:48.800000000,0 days 00:00:00.000000000,#140,1,0 days 00:00:34.000000000,265
0 days 00:38:28.800000000,0 days 00:00:00.000000000,#160,1,0 days 00:00:12.000000000,526
