average_uptime,average_downtime,machine,e,ct,product
0 days 00:19:32.000000000,0 days 00:00:00.000000000,#130,1,0 days 00:00:16.000000000,105
0 days 00:19:12.500000000,0 days 00:00:00.000000000,#110,1,0 days 00:00:15.000000000,101
0 days 00:19:32.500000000,0 days 00:00:00.000000000,#150,1,0 days 00:00:29.000000000,103
0 days 00:20:16.000000000,0 days 00:00:00.000000000,#170,1,0 days 00:00:10.000000000,86
0 days 00:19:34.000000000,0 days 00:00:00.000000000,#100,1,0 days 00:00:14.000000000,99
0 days 00:18:58.500000000,0 days 00:00:00.000000000,#80,1,0 days 00:00:14.000000000,92
0 days 00:19:28.000000000,0 days 00:00:00.000000000,#120,1,0 days 00:00:35.000000000,52
0 days 00:18:58.500000000,0 days 00:00:00.000000000,#90,1,0 days 00:00:17.000000000,96
0 days 00:19:24.500000000,0 days 00:00:00.000000000,#140,1,0 days 00:00:39.000000000,52
0 days 00:19:27.500000000,0 days 00:00:00.000000000,#160,1,0 days 00:00:14.000000000,103
