average_uptime,average_downtime,machine,e,ct,product
0 days 01:21:05.000000000,0 days 00:00:00.000000000,#130,1,0 days 00:00:18.000000000,399
0 days 01:21:14.000000000,0 days 00:00:00.000000000,#110,1,0 days 00:00:14.000000000,397
0 days 01:20:45.500000000,0 days 00:00:00.000000000,#150,1,0 days 00:00:29.000000000,400
0 days 03:19:09.000000000,0 days 00:00:00.000000000,#170,1,0 days 00:00:09.000000000,304
0 days 01:21:15.500000000,0 days 00:00:00.000000000,#100,1,0 days 00:00:15.000000000,397
0 days 01:21:14.000000000,0 days 00:00:00.000000000,#80,1,0 days 00:00:07.000000000,397
0 days 03:19:09.000000000,0 days 00:00:00.000000000,#120,1,0 days 00:00:40.000000000,200
0 days 01:21:17.500000000,0 days 00:00:00.000000000,#90,1,0 days 00:00:17.000000000,397
0 days 03:19:09.000000000,0 days 00:00:00.000000000,#140,1,0 days 00:00:31.000000000,200
0 days 01:20:29.000000000,0 days 00:00:00.000000000,#160,1,0 days 00:00:15.000000000,400
