average_uptime,average_downtime,machine,e,ct,product
0 days 00:20:08.350000000,0 days 00:00:00.000000000,#130,1,0 days 00:00:15.000000000,1089
0 days 02:13:31.666666666,0 days 00:00:10.500000000,#110,0.998691127,0 days 00:00:15.000000000,1082
0 days 03:23:13.000000000,0 days 00:00:03.000000000,#150,0.999754018,0 days 00:00:30.000000000,1095
0 days 00:59:12.714285714,0 days 00:00:13.666666666,#170,0.996167917,0 days 00:00:09.000000000,909
0 days 02:14:27.000000000,0 days 00:00:14.000000000,#100,0.998267541,0 days 00:00:17.000000000,1080
0 days 00:20:06.350000000,0 days 00:00:00.000000000,#80,1,0 days 00:00:07.000000000,1091
0 days 00:19:07.380952380,0 days 00:00:00.000000000,#120,1,0 days 00:00:31.000000000,558
0 days 03:18:20.500000000,0 days 00:00:22.000000000,#90,0.998154749,0 days 00:00:16.000000000,1085
0 days 00:19:19.571428571,0 days 00:00:00.000000000,#140,1,0 days 00:00:29.000000000,558
0 days 00:19:59.523809523,0 days 00:00:00.000000000,#160,1,0 days 00:00:15.000000000,1102
