average_uptime,average_downtime,machine,e,ct,product
0 days 00:23:52.000000000,0 days 00:00:00.000000000,#130,1,0 days 00:00:29.000000000,167
0 days 00:35:38.500000000,0 days 00:00:00.000000000,#110,1,0 days 00:00:15.000000000,165
0 days 00:23:53.666666666,0 days 00:00:00.000000000,#150,1,0 days 00:00:29.000000000,165
0 days 00:39:19.500000000,0 days 00:00:28.000000000,#170,0.988272251,0 days 00:00:10.000000000,147
0 days 00:35:38.500000000,0 days 00:00:00.000000000,#100,1,0 days 00:00:14.000000000,168
0 days 00:35:38.500000000,0 days 00:00:00.000000000,#80,1,0 days 00:00:16.000000000,166
0 days 00:23:48.666666666,0 days 00:00:00.000000000,#120,1,0 days 00:00:47.000000000,84
0 days 00:35:38.500000000,0 days 00:00:00.000000000,#90,1,0 days 00:00:17.000000000,167
0 days 00:23:48.000000000,0 days 00:00:00.000000000,#140,1,0 days 00:00:30.000000000,84
0 days 00:23:53.000000000,0 days 00:00:00.000000000,#160,1,0 days 00:00:15.000000000,166
