average_uptime,average_downtime,machine,e,ct,product
0 days 01:06:59.828571428,0 days 00:00:00.000000000,#130,1,0 days 00:00:17.000000000,5349
0 days 03:52:11.900000000,0 days 00:00:37.333333333,#110,0.99732746,0 days 00:00:15.000000000,5308
0 days 07:49:55.200000000,0 days 00:00:27.750000000,#150,0.999016758,0 days 00:00:31.000000000,5369
0 days 06:02:55.285714285,0 days 00:00:00.666666666,#170,0.999969385,0 days 00:00:09.000000000,4348
0 days 09:44:02.000000000,0 days 00:00:29.333333333,#100,0.999163609,0 days 00:00:14.000000000,5290
0 days 01:06:07.428571428,0 days 00:00:00.000000000,#80,1,0 days 00:00:10.000000000,5270
0 days 19:48:38.000000000,0 days 00:00:13.000000000,#120,0.999817751,0 days 00:00:32.000000000,2680
0 days 01:06:12.942857142,0 days 00:00:00.000000000,#90,1,0 days 00:00:16.000000000,5277
0 days 01:07:03.200000000,0 days 00:00:00.000000000,#140,1,0 days 00:00:33.000000000,2700
0 days 19:43:26.500000000,0 days 00:00:28.000000000,#160,0.999605825,0 days 00:00:14.000000000,5371
